Country,Switzerland,France,Malta,Italy,Iceland,Bulgaria,Portugal,Russia,Ukraine,Greece,Finland,Israel,Belgium,Lithuania,Moldova,Cyprus,Sweden,San Marino,Azerbaijan,Albania,Serbia,Norway,Netherlands,Spain,Germany,United Kingdom,Country-code
Result_tot,267,248,208,206,198,140,126,104,97,91,83,73,71,55,53,50,46,37,32,22,20,15,11,6,3,0,
Albania,12.0,10.0,8.0,4.0,,,,,,6.0,3.0,,,,,7.0,,5.0,2.0,,1.0,,,,,,ALB
Australia,10.0,7.0,12.0,6.0,8.0,2.0,,1.0,5.0,,,,,,,4.0,,,,,,,3.0,,,,AUS
Austria,10.0,8.0,4.0,6.0,12.0,5.0,7.0,,,,1.0,,,,,,,,,,,,3.0,,2.0,,AUT
Azerbaijan,,4.0,7.0,,,1.0,2.0,12.0,6.0,10.0,,,3.0,,8.0,,5.0,,,,,,,,,,AZE
Belgium,12.0,,5.0,2.0,3.0,6.0,1.0,7.0,10.0,,8.0,,,,,,4.0,,,,,,,,,,BEL
Bulgaria,,7.0,5.0,10.0,,,6.0,,,8.0,1.0,3.0,,,12.0,,,,,,,,2.0,4.0,,,BGR
Croatia,8.0,6.0,3.0,12.0,10.0,,1.0,4.0,,,,5.0,,2.0,,,,,,,7.0,,,,,,HRV
Cyprus,2.0,7.0,10.0,8.0,,5.0,1.0,6.0,,12.0,3.0,,4.0,,,,,,,,,,,,,,CYP
Czech Republic,5.0,10.0,7.0,6.0,8.0,4.0,12.0,2.0,,,1.0,,3.0,,,,,,,,,,,,,,CZE
Denmark,12.0,,4.0,,10.0,6.0,,,,,8.0,1.0,,,,,2.0,5.0,,7.0,,3.0,,,,,DNK
Estonia,12.0,10.0,1.0,3.0,8.0,6.0,5.0,,4.0,,7.0,,,2.0,,,,,,,,,,,,,EST
Finland,12.0,7.0,1.0,6.0,8.0,10.0,,4.0,,2.0,,,,3.0,,,5.0,,,,,,,,,,FIN
France,7.0,,,,3.0,,8.0,10.0,,12.0,,5.0,6.0,,,2.0,1.0,4.0,,,,,,,,,FRA
Georgia,10.0,,1.0,12.0,6.0,4.0,8.0,,7.0,,,,,3.0,,,,,5.0,,,,2.0,,,,GEO
Germany,10.0,12.0,8.0,6.0,3.0,,,2.0,5.0,,,,,1.0,,7.0,4.0,,,,,,,,,,DEU
Greece,,5.0,6.0,4.0,,8.0,,2.0,1.0,,,,3.0,,10.0,12.0,,7.0,,,,,,,,,GRC
Iceland,12.0,6.0,1.0,7.0,,8.0,10.0,2.0,3.0,4.0,5.0,,,,,,,,,,,,,,,,ISL
Ireland,5.0,12.0,10.0,,8.0,1.0,,,6.0,,,,3.0,4.0,,,,,2.0,,,7.0,,,,,IRL
Israel,12.0,8.0,5.0,,,1.0,,7.0,4.0,,,,6.0,10.0,,3.0,,,2.0,,,,,,,,ISR
Italy,,3.0,7.0,,8.0,,6.0,,1.0,,10.0,4.0,5.0,12.0,,,,,,,,2.0,,,,,ITA
Latvia,12.0,3.0,2.0,8.0,10.0,5.0,,1.0,7.0,,4.0,,,6.0,,,,,,,,,,,,,LVA
Lithuania,8.0,5.0,3.0,10.0,4.0,2.0,6.0,,12.0,,,1.0,7.0,,,,,,,,,,,,,,LTU
Malta,10.0,3.0,,,,,7.0,,5.0,6.0,2.0,,,,,4.0,8.0,1.0,,12.0,,,,,,,MLT
Moldova,3.0,4.0,7.0,,5.0,12.0,2.0,10.0,,8.0,,,,,,1.0,,,6.0,,,,,,,,MDA
Netherlands,5.0,12.0,7.0,,10.0,,,8.0,3.0,,,4.0,6.0,,,,,,2.0,1.0,,,,,,,NLD
North Macedonia,6.0,7.0,5.0,10.0,4.0,,,1.0,,,,8.0,,,,2.0,3.0,,,,12.0,,,,,,MKD
Norway,7.0,4.0,12.0,5.0,2.0,6.0,,,3.0,1.0,,8.0,,,,,10.0,,,,,,,,,,NOR
Poland,7.0,,4.0,5.0,10.0,,8.0,1.0,,,2.0,6.0,3.0,,,,,12.0,,,,,,,,,POL
Portugal,7.0,6.0,4.0,3.0,8.0,12.0,,10.0,2.0,,,,5.0,,,,,,,,,,1.0,,,,PRT
Romania,7.0,4.0,12.0,3.0,,2.0,10.0,,5.0,,8.0,,,,6.0,,,,,,,,,,1.0,,ROU
Russia,1.0,,4.0,10.0,,6.0,,,,7.0,,5.0,3.0,,12.0,2.0,,,8.0,,,,,,,,RUS
San Marino,4.0,12.0,7.0,10.0,,3.0,,,,8.0,1.0,,,6.0,5.0,,,,,2.0,,,,,,,SMR
Serbia,1.0,12.0,,8.0,7.0,6.0,5.0,,,3.0,10.0,2.0,,,,,4.0,,,,,,,,,,SRB
Slovenia,7.0,2.0,5.0,12.0,10.0,,,8.0,,3.0,4.0,1.0,6.0,,,,,,,,,,,,,,SVN
Spain,10.0,12.0,8.0,,7.0,4.0,5.0,,,1.0,,3.0,,2.0,,6.0,,,,,,,,,,,ESP
Sweden,5.0,6.0,12.0,10.0,7.0,,,3.0,8.0,,,4.0,1.0,,,,,,,,,2.0,,,,,SWE
Switzerland,,12.0,6.0,8.0,5.0,10.0,7.0,3.0,,,1.0,,,4.0,,,,,2.0,,,,,,,,CHE
Ukraine,8.0,10.0,5.0,12.0,4.0,,2.0,,,,,7.0,6.0,,,,,,3.0,,,1.0,,,,,UKR
United Kingdom,8.0,12.0,,,10.0,5.0,7.0,,,,4.0,6.0,1.0,,,,,3.0,,,,,,2.0,,,GBR
