,Country,Result_tot,Albania,Australia,Austria,Azerbaijan,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Iceland,Ireland,Israel,Italy,Latvia,Lithuania,Malta,Moldova,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovenia,Spain,Sweden,Switzerland,Ukraine,United Kingdom,latitude,longitude,Country_Code
0,Italy,524,14.0,13.0,14.0,10.0,10.0,22.0,22.0,18.0,12.0,5.0,11.0,14.0,10.0,20.0,13.0,14.0,12.0,6.0,7.0,,15.0,20.0,12.0,8.0,2.0,18.0,12.0,15.0,10.0,13.0,20.0,22.0,20.0,22.0,10.0,13.0,18.0,24.0,3.0,42.6384261,12.674297,ITA
1,France,499,16.0,11.0,14.0,6.0,12.0,17.0,13.0,15.0,12.0,3.0,17.0,13.0,,5.0,22.0,13.0,13.0,19.0,16.0,4.0,6.0,13.0,6.0,10.0,24.0,12.0,8.0,5.0,18.0,12.0,6.0,22.0,22.0,8.0,24.0,12.0,18.0,15.0,17.0,46.603354,1.8883335,FRA
2,Switzerland,432,24.0,15.0,15.0,4.0,16.0,3.0,13.0,2.0,8.0,18.0,14.0,19.0,13.0,10.0,12.0,4.0,18.0,8.0,18.0,,16.0,14.0,10.0,7.0,12.0,13.0,9.0,14.0,13.0,12.0,6.0,7.0,2.0,12.0,17.0,10.0,,15.0,9.0,46.7985624,8.2319736,CHE
3,Iceland,378,,20.0,22.0,,8.0,,14.0,,15.0,22.0,11.0,20.0,7.0,7.0,9.0,,,18.0,1.0,14.0,15.0,7.0,5.0,5.0,18.0,4.0,12.0,18.0,11.0,,1.0,,12.0,13.0,12.0,17.0,10.0,10.0,20.0,64.9841821,-18.1059013,ISL
4,Ukraine,364,4.0,15.0,7.0,14.0,20.0,6.0,8.0,6.0,10.0,1.0,9.0,10.0,12.0,13.0,9.0,6.0,11.0,14.0,16.0,13.0,13.0,24.0,6.0,10.0,8.0,4.0,8.0,12.0,12.0,12.0,7.0,5.0,8.0,7.0,6.0,12.0,2.0,,4.0,49.4871968,31.2718321,UKR
5,Finland,301,6.0,3.0,5.0,5.0,14.0,9.0,6.0,7.0,5.0,15.0,19.0,,1.0,,8.0,6.0,17.0,5.0,4.0,18.0,12.0,7.0,9.0,5.0,4.0,2.0,6.0,8.0,5.0,14.0,8.0,5.0,17.0,8.0,2.0,12.0,5.0,8.0,11.0,63.2467777,25.9209164,FIN
6,Malta,255,8.0,20.0,6.0,7.0,7.0,5.0,3.0,11.0,7.0,6.0,1.0,1.0,,1.0,8.0,9.0,4.0,14.0,10.0,7.0,2.0,3.0,,7.0,8.0,5.0,15.0,4.0,4.0,14.0,4.0,7.0,,5.0,11.0,14.0,6.0,5.0,6.0,35.8885993,14.4476911,MLT
7,Lithuania,220,,6.0,3.0,,7.0,,2.0,5.0,1.0,4.0,12.0,8.0,,13.0,13.0,,4.0,16.0,13.0,17.0,18.0,,6.0,2.0,3.0,,12.0,4.0,,3.0,2.0,6.0,,,6.0,7.0,5.0,10.0,12.0,55.3500003,23.7499997,LTU
8,Russia,204,,1.0,,18.0,7.0,7.0,7.0,9.0,7.0,,6.0,5.0,10.0,4.0,7.0,3.0,2.0,,17.0,7.0,11.0,4.0,,22.0,8.0,2.0,,3.0,11.0,,,1.0,6.0,9.0,,3.0,3.0,4.0,,64.6863136,97.7453061,RUS
9,Greece,170,14.0,,,10.0,,10.0,,24.0,8.0,,,2.0,12.0,12.0,,,4.0,,,,,,6.0,15.0,10.0,,1.0,,2.0,,7.0,15.0,6.0,11.0,1.0,,,,,38.9953683,21.9877132,GRC
10,Bulgaria,170,5.0,2.0,5.0,1.0,6.0,,,12.0,4.0,6.0,6.0,10.0,,4.0,,8.0,8.0,1.0,1.0,,5.0,2.0,,12.0,,,6.0,,12.0,2.0,6.0,5.0,6.0,,12.0,,10.0,,13.0,42.6073975,25.4856617,BGR
11,Portugal,153,,,7.0,2.0,1.0,6.0,1.0,1.0,12.0,,5.0,,16.0,8.0,,,12.0,2.0,,6.0,,6.0,7.0,2.0,6.0,,,8.0,,10.0,,,5.0,,6.0,,15.0,2.0,7.0,40.0332629,-7.8896263,PRT
12,Moldova,115,7.0,,,9.0,,12.0,,,12.0,,,2.0,7.0,2.0,,10.0,,,,2.0,,,,,,,,,8.0,18.0,15.0,11.0,,,,,,,,47.2879608,28.5670941,MDA
