Country,Link
Italy,https://www.youtube.com/embed/RVH5dn1cxAQ?autoplay=1&amp
France,https://www.youtube.com/embed/Unj9WbeLzRU?autoplay=1&amp
Switzerland,https://www.youtube.com/embed/jznH_fltcYA?autoplay=1&amp
Iceland,https://www.youtube.com/embed/YSMhu-PrLME?autoplay=1&amp
Ukraine,https://www.youtube.com/embed/lqvzDkgok_g?autoplay=1&amp
Finland,https://www.youtube.com/embed/fOPGxQ4fgVw?autoplay=1&amp
Malta,https://www.youtube.com/embed/jbbc2yKnv0M?autoplay=1&amp
Lithuania,https://www.youtube.com/embed/JNweec5olYw?autoplay=1&amp
Russia,https://www.youtube.com/embed/V-Di9A28e5E?autoplay=1&amp
Greece,https://www.youtube.com/embed/QhZhJFp0vVw?autoplay=1&amp
Bulgaria,https://www.youtube.com/embed/B1ZiPrMwMYA?autoplay=1&amp
Portugal,https://www.youtube.com/embed/qq9SceXaukA?autoplay=1&amp
Moldova,https://www.youtube.com/embed/5I_1GTehgkI?autoplay=1&amp
Sweden,https://www.youtube.com/embed/NyJRyif6_kk?autoplay=1&amp
Serbia,https://www.youtube.com/embed/Q1lkpIqf7a4?autoplay=1&amp
Cyprus,https://www.youtube.com/embed/MgGc1F_cOE8?autoplay=1&amp
Israel,https://www.youtube.com/embed/5Y-blG5ptwo?autoplay=1&amp
Norway,https://www.youtube.com/embed/F0r3vmGLzZU?autoplay=1&amp
Belgium,https://www.youtube.com/embed/HbpxcUMtjwY?autoplay=1&amp
Azerbaijan,https://www.youtube.com/embed/FTQ22S5YC7Q?autoplay=1&amp
Albania,https://www.youtube.com/embed/OxniMKVXjqM?autoplay=1&amp
San Marino,https://www.youtube.com/embed/TkhiH-JXFPs?autoplay=1&amp
Netherlands,https://www.youtube.com/embed/o3Da5cr2fTs?autoplay=1&amp
Spain,https://www.youtube.com/embed/thV-vhOQHvQ?autoplay=1&amp
Germany,https://www.youtube.com/embed/1m0VEAfLV4E?autoplay=1&amp
United Kingdom,https://www.youtube.com/embed/VxNOynEJ6wc?autoplay=1&amp
